,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
7,71.0,60.0,2407.2180727095943,1345.2994483500463,2417.060053258748,1355.0102754595912,4.0,1.0,462.32665373863284,460.05276776016046,16.66342373985396,7.42212487331487
8,73.0,61.0,2399.2129407168736,1347.235678962668,2409.0013732633665,1356.8936716459202,4.0,1.0,460.78720508977307,460.70351899257435,16.58805887572019,7.4387998994720315
0,97.0,71.0,2280.9916992410704,1355.6595459113792,2297.11132810268,1365.0059814323708,6.0,1.0,438.73487345377606,463.5207935474537,15.536328811947957,7.467772492513887
1,100.0,72.0,2228.238775929558,1350.8658094556265,2245.000102186385,1361.2543175761955,6.0,1.0,428.6853924861112,462.06491053134744,15.025176952604435,7.4288151632492
2,103.0,73.0,2191.929126067117,1349.9896510987862,2208.009764493217,1359.554379969186,6.0,1.0,421.66081034536535,461.62602010787674,14.69660188541858,7.40884154503034
3,106.0,74.0,2155.768746634802,1347.3120797007662,2170.765663087488,1356.7422295582148,6.0,1.0,414.6262142650528,460.6907341700486,14.35592956753879,7.378659091591564
4,108.0,75.0,2120.1427937429203,1344.401185146343,2135.822630173547,1354.278033974129,6.0,1.0,407.86335312532816,459.7749780723767,14.024932157220915,7.348192290945044
5,110.0,76.0,2083.6974329842706,1341.6836219159984,2099.354486363833,1351.2874506473677,6.0,1.0,400.8758089375266,458.80247902931416,13.697451240663316,7.325967756988903
6,112.0,77.0,2047.1334668532556,1338.333142921815,2062.9909322340627,1347.9100132269202,6.0,1.0,393.8869215792013,457.6562414179326,13.33373550514506,7.293373409680362
7,114.0,78.0,2011.7079635118048,1334.9228454680535,2028.0522744314685,1344.9099468711804,6.0,1.0,387.1436894695637,456.5641053614991,13.014697551485337,7.2620669521572125
8,116.0,79.0,1975.7198945734733,1331.973330046716,1992.0396328259255,1341.780567752524,6.0,1.0,380.2436213757758,455.5284418472779,12.6765508329347,7.2340473763698725
9,118.0,80.0,1939.4552214131368,1328.4969726564789,1956.0453781819847,1338.4129355275556,6.0,1.0,373.3188074611992,454.3624288017244,12.339602604313175,7.198558382851593
10,120.0,81.0,1905.160029166532,1325.1340081757276,1921.4794431276684,1334.8041907774395,6.0,1.0,366.7196160948609,453.174656117947,12.028817518837055,7.156020045434587
11,122.0,82.0,1869.6407227923407,1322.0804318512746,1886.46650626018,1332.0786705172331,6.0,1.0,359.9602761175333,452.19006929241243,11.69636665640174,7.129741853332564
12,124.0,83.0,1835.43410352692,1317.439978699732,1851.4693901828496,1327.1303067966082,6.0,1.0,353.3282514805196,450.55641901048756,11.391687043510448,7.077584551465388
13,126.0,84.0,1802.462080164951,1314.1677573861152,1818.0166507510935,1323.655014055983,6.0,1.0,346.96254504612097,449.4068425419871,11.085552792040591,7.0426857757726955
